Session Code,Sport,Venue,Zone,Date,Games Day,Session Type,Event,Start Time,End Time,Is in LA Area,Is Women's Event 🎉
BK320,3x3 Basketball,Valley Complex 3,Valley,"Saturday, July 22",8,Final,Women's Gold Medal Game,21:00,23:30,TRUE,TRUE
ARC01,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Not Ticketed,9:30,12:00,TRUE,FALSE
ARC01,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Women's Compound Qualification Round,9:30,12:00,TRUE,TRUE
ARC01,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Men's Recurve Qualification Round,9:30,12:00,TRUE,FALSE
ARC02,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Not Ticketed,13:30,16:30,TRUE,FALSE
ARC02,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Men's Compound Qualification Round,13:30,16:30,TRUE,FALSE
ARC02,Archery,N/A,Carson,"Wednesday, July 19",5,N/A,Women's Recurve Qualification Round,13:30,16:30,TRUE,TRUE
ARC03,Archery,Carson Stadium,Carson,"Friday, July 21",7,Final,Compound Mixed Team 1/8 Elimination Round,19:30,23:15,TRUE,FALSE
ARC03,Archery,Carson Stadium,Carson,"Friday, July 21",7,Final,Compound Mixed Team Quarterfinal,19:30,23:15,TRUE,FALSE
ARC03,Archery,Carson Stadium,Carson,"Friday, July 21",7,Final,Compound Mixed Team Semifinal,19:30,23:15,TRUE,FALSE
ARC03,Archery,Carson Stadium,Carson,"Friday, July 21",7,Final,Compound Mixed Team Bronze Medal Match,19:30,23:15,TRUE,FALSE
ARC03,Archery,Carson Stadium,Carson,"Friday, July 21",7,Final,Compound Mixed Team Gold Medal Match,19:30,23:15,TRUE,FALSE
ARC04,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Men's Individual 1/32 Elimination Round,9:30,12:35,TRUE,FALSE
ARC04,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Women's Individual 1/32 Elimination Round,9:30,12:35,TRUE,TRUE
ARC05,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Men's Individual 1/32 Elimination Round,20:00,22:35,TRUE,FALSE
ARC05,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Women's Individual 1/32 Elimination Round,20:00,22:35,TRUE,TRUE
ARC05,Archery,Carson Stadium,Carson,"Saturday, July 22",8,Preliminary,Recurve Men's Individual 1/16 Elimination Round,20:00,22:35,TRUE,FALSE
